Unnamed: 0,brand,name,price,image_name
2518,Tissot,Gent XL Classic,450.0,2518.jpg
2520,DUKUDU,Magnus 45mm,229.0,2520.jpg
2521,TONY+WILL,CASPIAN,139.0,2521.jpg
2522,Tissot,Chrono XL Classic,700.0,2522.jpg
2523,Tissot,Everytime Small,400.0,2523.jpg
2524,Mido,Baroncelli Prisma,1775.0,2524.jpg
2525,Tissot,Everytime Small,400.0,2525.jpg
2526,Tissot,Gent XL Classic,450.0,2526.jpg
2527,Tissot,T-My Lady Automatic,1350.0,2527.jpg
2529,Tissot,Carson Premium Lady,550.0,2529.jpg
2530,TONY+WILL,Astral,99.95,2530.jpg
2531,TONY+WILL,CASPIAN,139.0,2531.jpg
2532,TONY+WILL,Small Astral,99.95,2532.jpg
2533,TONY+WILL,Small Classic,89.95,2533.jpg
2534,Mido,Baroncelli Lady Day,1700.0,2534.jpg
2535,Mido,Baroncelli Heritage Lady,1750.0,2535.jpg
2536,Tissot,Gentleman Automatic Silicium,1175.0,2536.jpg
2537,Philipp Plein,Queen 36mm,880.0,2537.jpg
2538,Mido,Mido Ocean Star GMT,2100.0,2538.jpg
2539,Mido,Baroncelli Heritage Lady,1575.0,2539.jpg
2540,Mido,Baroncelli Lady Day,1500.0,2540.jpg
2541,Mido,Baroncelli Midnight Blue Lady,1650.0,2541.jpg
2542,TONY+WILL,PACIFIC,149.0,2542.jpg
2543,Paul Hewitt,Perfect Match Everpulse,319.0,2543.jpg
2544,Missoni,Optic Zigzag,1195.0,2544.jpg
2545,Polar,Polar Vantage M2 Champagne Gold,449.0,2545.jpg
2546,VERSUS Versace,South Bay 34mm,595.0,2546.jpg
2547,Mido,Baroncelli Lady Day,1550.0,2547.jpg
2548,Mido,Baroncelli Lady Twenty Five,1550.0,2548.jpg
2549,Philipp Plein,The $keleton 44mm,1350.0,2549.jpg
2550,Mido,Baroncelli Midnight Blue Lady,1225.0,2550.jpg
2551,Polar,Polar Vantage M2 Black Grey,449.0,2551.jpg
2552,VERSUS Versace,Vittoria 38mm,490.0,2552.jpg
